order_id,comp_code,subject_id,package_code,status,created_at,submitted_at,completed_at,cancelled_at,reopened_count,sla_target_hours,tat_hours,tat_bucket,dmr_flag,mr_flag,adjudication_result,created_by_email,channel,list_price,discount_pct,net_amount,invoice_ref,search_text
147,C001,136,C001-PKG-2,COMPLETED,2025-06-04 10:53:03.531315+05:30,2025-06-04 13:53:03.531315+05:30,2025-06-08 12:53:03.531315+05:30,,1,72,95,>72h,f,f,,ubriggs@yahoo.com,PORTAL,3626.76,0.00,3626.76,,
148,C001,308,C001-PKG-2,COMPLETED,2025-06-04 17:37:03.531315+05:30,2025-06-04 20:37:03.531315+05:30,2025-06-06 07:37:03.531315+05:30,,1,36,35,24–48h,f,f,,vschneider@gmail.com,PORTAL,3626.76,10.00,3264.08,,
195,C001,257,C001-PKG-1,COMPLETED,2025-06-24 22:34:03.531315+05:30,2025-06-24 23:34:03.531315+05:30,2025-06-25 11:34:03.531315+05:30,,0,36,12,<=24h,f,f,,jamessingleton@yahoo.com,API,1046.81,15.00,889.79,,
197,C001,25,C001-PKG-1,COMPLETED,2025-06-27 12:43:03.531315+05:30,2025-06-27 20:43:03.531315+05:30,2025-06-28 05:43:03.531315+05:30,,1,24,9,<=24h,f,f,,anthony12@yahoo.com,API,1046.81,0.00,1046.81,,
198,C001,119,C001-PKG-2,IN_PROGRESS,2025-06-28 19:13:03.531315+05:30,2025-06-28 20:13:03.531315+05:30,,,1,36,,,f,f,,melissa19@yahoo.com,PORTAL,3626.76,5.00,3445.42,,
199,C001,233,C001-PKG-1,IN_PROGRESS,2025-06-28 16:41:03.531315+05:30,2025-06-28 20:41:03.531315+05:30,,,1,36,,,f,f,,marywagner@hotmail.com,API,1046.81,10.00,942.13,,
244,C001,291,C001-PKG-2,IN_PROGRESS,2025-07-22 21:05:03.531315+05:30,2025-07-23 01:05:03.531315+05:30,,,1,24,,,f,f,,wilcoxshelby@yahoo.com,API,3626.76,0.00,3626.76,,
245,C001,57,C001-PKG-1,COMPLETED,2025-07-23 16:30:03.531315+05:30,2025-07-23 23:30:03.531315+05:30,2025-07-26 08:30:03.531315+05:30,,0,36,57,48–72h,f,f,,catherine61@gmail.com,API,1046.81,0.00,1046.81,,
246,C001,121,C001-PKG-2,COMPLETED,2025-07-24 14:21:03.531315+05:30,2025-07-24 19:21:03.531315+05:30,2025-07-25 08:21:03.531315+05:30,,0,24,13,<=24h,f,f,,wsmith@gmail.com,PORTAL,3626.76,0.00,3626.76,,
247,C001,33,C001-PKG-1,COMPLETED,2025-07-24 14:16:03.531315+05:30,2025-07-24 14:16:03.531315+05:30,2025-07-27 07:16:03.531315+05:30,,1,48,65,48–72h,f,f,,felicia41@gmail.com,API,1046.81,10.00,942.13,,
248,C001,150,C001-PKG-1,COMPLETED,2025-07-24 12:20:03.531315+05:30,2025-07-24 13:20:03.531315+05:30,2025-07-25 06:20:03.531315+05:30,,0,24,17,<=24h,f,f,,darrell55@gmail.com,BULK,1046.81,0.00,1046.81,,
249,C001,159,C001-PKG-1,COMPLETED,2025-07-25 07:21:03.531315+05:30,2025-07-25 15:21:03.531315+05:30,2025-07-26 12:21:03.531315+05:30,,0,48,21,<=24h,f,f,,kaylacohen@gmail.com,BULK,1046.81,5.00,994.47,,
292,C001,225,C001-PKG-1,COMPLETED,2025-08-15 12:25:03.531315+05:30,2025-08-15 15:25:03.531315+05:30,2025-08-20 12:25:03.531315+05:30,,1,72,117,>72h,f,f,,zcole@gmail.com,API,1046.81,0.00,1046.81,,
293,C001,247,C001-PKG-1,COMPLETED,2025-08-16 13:02:03.531315+05:30,2025-08-16 17:02:03.531315+05:30,2025-08-18 16:02:03.531315+05:30,,0,36,47,24–48h,f,f,,robin58@yahoo.com,BULK,1046.81,10.00,942.13,,
341,C001,34,C001-PKG-1,COMPLETED,2025-09-10 19:01:03.531315+05:30,2025-09-10 21:01:03.531315+05:30,2025-09-13 02:01:03.531315+05:30,,0,36,53,48–72h,f,f,,,API,1046.81,0.00,1046.81,,
389,C002,591,C002-PKG-3,COMPLETED,2025-04-07 14:24:03.531315+05:30,2025-04-07 18:24:03.531315+05:30,2025-04-08 20:24:03.531315+05:30,,0,24,26,24–48h,f,f,,jameshunter@yahoo.com,PORTAL,1296.78,10.00,1167.10,,
439,C002,702,C002-PKG-5,IN_PROGRESS,2025-04-30 16:16:03.531315+05:30,2025-05-01 00:16:03.531315+05:30,,,0,36,,,f,f,,douglasmeyer@yahoo.com,BULK,672.77,5.00,639.13,,
440,C002,444,C002-PKG-6,IN_PROGRESS,2025-04-30 08:06:03.531315+05:30,2025-04-30 08:06:03.531315+05:30,,,0,72,,,f,f,,,BULK,1851.43,0.00,1851.43,,
442,C002,758,C002-PKG-6,COMPLETED,2025-05-02 16:56:03.531315+05:30,2025-05-02 19:56:03.531315+05:30,2025-05-05 12:56:03.531315+05:30,,0,72,65,48–72h,f,f,,,BULK,1851.43,5.00,1758.86,,
443,C002,761,C002-PKG-4,COMPLETED,2025-05-02 16:48:03.531315+05:30,2025-05-02 19:48:03.531315+05:30,2025-05-03 09:48:03.531315+05:30,,1,36,14,<=24h,f,f,,,PORTAL,1244.69,15.00,1057.99,,
444,C002,559,C002-PKG-2,COMPLETED,2025-05-01 20:26:03.531315+05:30,2025-05-01 21:26:03.531315+05:30,2025-05-03 12:26:03.531315+05:30,,0,36,39,24–48h,f,f,,,PORTAL,3170.14,5.00,3011.63,,
488,C002,626,C002-PKG-5,COMPLETED,2025-05-29 03:25:03.531315+05:30,2025-05-29 10:25:03.531315+05:30,2025-05-30 12:25:03.531315+05:30,,0,24,26,24–48h,f,f,,jimmy35@hotmail.com,BULK,672.77,0.00,672.77,,
489,C002,710,C002-PKG-4,COMPLETED,2025-05-30 04:44:03.531315+05:30,2025-05-30 05:44:03.531315+05:30,2025-06-04 10:44:03.531315+05:30,,0,72,125,>72h,f,f,,dfitzgerald@yahoo.com,API,1244.69,10.00,1120.22,,
490,C002,512,C002-PKG-1,COMPLETED,2025-05-31 15:40:03.531315+05:30,2025-05-31 18:40:03.531315+05:30,2025-06-03 04:40:03.531315+05:30,,0,36,58,48–72h,f,f,,keith09@hotmail.com,BULK,2750.72,10.00,2475.65,,
535,C002,513,C002-PKG-2,COMPLETED,2025-06-24 04:56:03.531315+05:30,2025-06-24 07:56:03.531315+05:30,2025-06-27 06:56:03.531315+05:30,,1,72,71,48–72h,f,f,,weaverrobert@gmail.com,PORTAL,3170.14,0.00,3170.14,,
536,C002,709,C002-PKG-2,COMPLETED,2025-06-24 14:08:03.531315+05:30,2025-06-24 14:08:03.531315+05:30,2025-06-25 10:08:03.531315+05:30,,1,24,20,<=24h,f,f,,jamesjohnson@gmail.com,API,3170.14,0.00,3170.14,,
537,C002,456,C002-PKG-4,COMPLETED,2025-06-25 01:36:03.531315+05:30,2025-06-25 02:36:03.531315+05:30,2025-06-27 15:36:03.531315+05:30,,0,36,61,48–72h,f,f,,grace86@yahoo.com,API,1244.69,10.00,1120.22,,
538,C002,723,C002-PKG-3,COMPLETED,2025-06-25 17:41:03.531315+05:30,2025-06-26 01:41:03.531315+05:30,2025-06-28 07:41:03.531315+05:30,,1,36,54,48–72h,f,f,,hunter83@yahoo.com,BULK,1296.78,0.00,1296.78,,
539,C002,574,C002-PKG-4,COMPLETED,2025-06-25 21:40:03.531315+05:30,2025-06-26 03:40:03.531315+05:30,2025-07-01 10:40:03.531315+05:30,,1,72,127,>72h,f,f,,austinnicole@gmail.com,PORTAL,1244.69,10.00,1120.22,,
540,C002,541,C002-PKG-4,COMPLETED,2025-06-26 14:57:03.531315+05:30,2025-06-26 21:57:03.531315+05:30,2025-06-29 07:57:03.531315+05:30,,0,72,58,48–72h,f,f,,emccormick@gmail.com,BULK,1244.69,0.00,1244.69,,
583,C002,703,C002-PKG-1,COMPLETED,2025-07-16 03:19:03.531315+05:30,2025-07-16 03:19:03.531315+05:30,2025-07-18 23:19:03.531315+05:30,,0,72,68,48–72h,f,f,,davisgordon@gmail.com,API,2750.72,5.00,2613.18,,
584,C002,437,C002-PKG-5,COMPLETED,2025-07-16 13:53:03.531315+05:30,2025-07-16 13:53:03.531315+05:30,2025-07-18 12:53:03.531315+05:30,,0,48,47,24–48h,f,f,,nwiggins@gmail.com,BULK,672.77,0.00,672.77,,
585,C002,472,C002-PKG-4,PENDING,2025-07-17 11:47:03.531315+05:30,2025-07-17 13:47:03.531315+05:30,,,0,24,,,f,f,,,BULK,1244.69,5.00,1182.46,,
632,C002,595,C002-PKG-4,COMPLETED,2025-08-07 09:24:03.531315+05:30,2025-08-07 16:24:03.531315+05:30,2025-08-09 04:24:03.531315+05:30,,0,24,36,24–48h,f,f,,,API,1244.69,0.00,1244.69,,
633,C002,607,C002-PKG-6,REOPENED,2025-08-07 20:16:03.531315+05:30,2025-08-07 20:16:03.531315+05:30,,,0,24,,,f,f,,wilsonolivia@hotmail.com,BULK,1851.43,5.00,1758.86,,
634,C002,735,C002-PKG-4,COMPLETED,2025-08-08 09:42:03.531315+05:30,2025-08-08 13:42:03.531315+05:30,2025-08-11 16:42:03.531315+05:30,,0,48,75,>72h,f,f,,,PORTAL,1244.69,0.00,1244.69,,
635,C002,769,C002-PKG-4,COMPLETED,2025-08-08 18:49:03.531315+05:30,2025-08-08 18:49:03.531315+05:30,2025-08-10 17:49:03.531315+05:30,,0,72,47,24–48h,f,f,,qtownsend@yahoo.com,BULK,1244.69,10.00,1120.22,,
644,C002,690,C002-PKG-1,PENDING,2025-08-14 05:47:03.531315+05:30,2025-08-14 10:47:03.531315+05:30,,,0,24,,,f,f,,,API,2750.72,10.00,2475.65,,
680,C002,713,C002-PKG-1,COMPLETED,2025-08-31 11:26:03.531315+05:30,2025-08-31 15:26:03.531315+05:30,2025-09-02 14:26:03.531315+05:30,,0,36,47,24–48h,f,f,,qkrueger@hotmail.com,BULK,2750.72,0.00,2750.72,,
681,C002,499,C002-PKG-4,COMPLETED,2025-08-31 21:27:03.531315+05:30,2025-08-31 21:27:03.531315+05:30,2025-09-02 07:27:03.531315+05:30,,0,48,34,24–48h,f,f,,carrolljason@gmail.com,BULK,1244.69,10.00,1120.22,,
728,C003,829,C003-PKG-2,COMPLETED,2025-03-28 16:35:03.531315+05:30,2025-03-28 19:35:03.531315+05:30,2025-03-29 21:35:03.531315+05:30,,1,36,26,24–48h,f,f,,burnsmichelle@yahoo.com,PORTAL,2621.97,5.00,2490.87,,
729,C003,1191,C003-PKG-1,DRAFT,2025-03-29 18:24:03.531315+05:30,,,,0,72,,,f,f,,jesseyoung@gmail.com,API,3075.69,5.00,2921.91,,
730,C003,1026,C003-PKG-2,COMPLETED,2025-03-30 13:10:03.531315+05:30,2025-03-30 20:10:03.531315+05:30,2025-04-02 09:10:03.531315+05:30,,1,72,61,48–72h,f,f,,rhouse@yahoo.com,PORTAL,2621.97,0.00,2621.97,,
731,C003,1161,C003-PKG-2,COMPLETED,2025-03-29 22:50:03.531315+05:30,2025-03-30 02:50:03.531315+05:30,2025-03-31 16:50:03.531315+05:30,,1,24,38,24–48h,f,f,,woodardkelly@hotmail.com,API,2621.97,15.00,2228.67,,
732,C003,805,C003-PKG-3,IN_PROGRESS,2025-03-31 01:17:03.531315+05:30,2025-03-31 05:17:03.531315+05:30,,,0,48,,,f,f,,jamesjoann@hotmail.com,API,4614.21,0.00,4614.21,,
733,C003,997,C003-PKG-2,COMPLETED,2025-04-01 07:56:03.531315+05:30,2025-04-01 13:56:03.531315+05:30,2025-04-02 21:56:03.531315+05:30,,0,36,32,24–48h,f,f,,monica29@yahoo.com,PORTAL,2621.97,15.00,2228.67,,
734,C003,1123,C003-PKG-2,IN_PROGRESS,2025-03-31 21:22:03.531315+05:30,2025-03-31 23:22:03.531315+05:30,,,0,48,,,f,f,,brianbyrd@yahoo.com,PORTAL,2621.97,5.00,2490.87,,
776,C003,1092,C003-PKG-3,COMPLETED,2025-04-20 22:56:03.531315+05:30,2025-04-21 06:56:03.531315+05:30,2025-04-21 17:56:03.531315+05:30,,0,24,11,<=24h,f,f,,marcushoffman@gmail.com,BULK,4614.21,15.00,3922.08,,
777,C003,1042,C003-PKG-1,COMPLETED,2025-04-22 07:36:03.531315+05:30,2025-04-22 09:36:03.531315+05:30,2025-04-23 10:36:03.531315+05:30,,0,24,25,24–48h,f,f,,,API,3075.69,15.00,2614.34,,
778,C003,972,C003-PKG-3,COMPLETED,2025-04-22 04:06:03.531315+05:30,2025-04-22 09:06:03.531315+05:30,2025-04-25 18:06:03.531315+05:30,,0,72,81,>72h,f,f,,nmorton@yahoo.com,BULK,4614.21,5.00,4383.50,,
825,C003,883,C003-PKG-3,COMPLETED,2025-05-13 02:34:03.531315+05:30,2025-05-13 10:34:03.531315+05:30,2025-05-15 21:34:03.531315+05:30,,1,36,59,48–72h,f,f,,bradleytravis@hotmail.com,API,4614.21,0.00,4614.21,,
826,C003,903,C003-PKG-2,DRAFT,2025-05-13 13:20:03.531315+05:30,,,,0,72,,,f,f,,arthur28@yahoo.com,BULK,2621.97,10.00,2359.77,,
827,C003,1037,C003-PKG-1,COMPLETED,2025-05-14 04:28:03.531315+05:30,2025-05-14 12:28:03.531315+05:30,2025-05-14 21:28:03.531315+05:30,,1,36,9,<=24h,f,f,,kinglindsay@yahoo.com,PORTAL,3075.69,10.00,2768.12,,
828,C003,1031,C003-PKG-1,PENDING,2025-05-14 12:59:03.531315+05:30,2025-05-14 16:59:03.531315+05:30,,,0,48,,,f,f,,amywebb@gmail.com,PORTAL,3075.69,0.00,3075.69,,
875,C003,1093,C003-PKG-1,IN_PROGRESS,2025-06-04 05:58:03.531315+05:30,2025-06-04 10:58:03.531315+05:30,,,0,72,,,f,f,,,BULK,3075.69,10.00,2768.12,,
876,C003,1060,C003-PKG-3,COMPLETED,2025-06-04 00:17:03.531315+05:30,2025-06-04 04:17:03.531315+05:30,2025-06-07 16:17:03.531315+05:30,,0,72,84,>72h,f,t,REVIEW,,API,4614.21,0.00,4614.21,,
877,C003,814,C003-PKG-1,PENDING,2025-06-05 06:35:03.531315+05:30,2025-06-05 08:35:03.531315+05:30,,,1,36,,,f,f,,michael48@yahoo.com,PORTAL,3075.69,5.00,2921.91,,
879,C003,1156,C003-PKG-3,PENDING,2025-06-05 12:50:03.531315+05:30,2025-06-05 18:50:03.531315+05:30,,,0,48,,,f,f,,andrea59@gmail.com,API,4614.21,5.00,4383.50,,
923,C003,1025,C003-PKG-1,COMPLETED,2025-06-25 07:17:03.531315+05:30,2025-06-25 13:17:03.531315+05:30,2025-06-28 11:17:03.531315+05:30,,0,72,70,48–72h,f,f,,,PORTAL,3075.69,0.00,3075.69,,
924,C003,1029,C003-PKG-2,DRAFT,2025-06-24 22:02:03.531315+05:30,,,,0,36,,,f,f,,ubird@hotmail.com,BULK,2621.97,15.00,2228.67,,
925,C003,1091,C003-PKG-2,IN_PROGRESS,2025-06-26 10:39:03.531315+05:30,2025-06-26 13:39:03.531315+05:30,,,0,36,,,f,f,,victoriagardner@gmail.com,PORTAL,2621.97,0.00,2621.97,,
926,C003,1006,C003-PKG-2,DRAFT,2025-06-27 08:20:03.531315+05:30,,,,1,48,,,f,f,,,API,2621.97,0.00,2621.97,,
927,C003,936,C003-PKG-2,COMPLETED,2025-06-27 12:00:03.531315+05:30,2025-06-27 18:00:03.531315+05:30,2025-06-28 04:00:03.531315+05:30,,1,48,10,<=24h,f,f,,wongkimberly@hotmail.com,API,2621.97,5.00,2490.87,,
928,C003,847,C003-PKG-3,COMPLETED,2025-06-27 13:20:03.531315+05:30,2025-06-27 19:20:03.531315+05:30,2025-06-28 18:20:03.531315+05:30,,0,72,23,<=24h,f,f,,jennifer75@yahoo.com,BULK,4614.21,10.00,4152.79,,
929,C003,828,C003-PKG-3,COMPLETED,2025-06-28 13:03:03.531315+05:30,2025-06-28 14:03:03.531315+05:30,2025-07-03 23:03:03.531315+05:30,,1,72,129,>72h,f,f,,,PORTAL,4614.21,15.00,3922.08,,
931,C003,1031,C003-PKG-1,COMPLETED,2025-06-29 02:45:03.531315+05:30,2025-06-29 09:45:03.531315+05:30,2025-06-30 02:45:03.531315+05:30,,0,36,17,<=24h,f,f,,jblair@hotmail.com,BULK,3075.69,5.00,2921.91,,
972,C003,1131,C003-PKG-3,COMPLETED,2025-07-20 21:29:03.531315+05:30,2025-07-21 05:29:03.531315+05:30,2025-07-22 16:29:03.531315+05:30,,0,48,35,24–48h,f,f,,ubarnett@gmail.com,API,4614.21,5.00,4383.50,,
1020,C003,849,C003-PKG-1,IN_PROGRESS,2025-08-10 17:43:03.531315+05:30,2025-08-10 22:43:03.531315+05:30,,,1,36,,,f,f,,brussell@gmail.com,API,3075.69,5.00,2921.91,,
1021,C003,1010,C003-PKG-1,IN_PROGRESS,2025-08-11 15:48:03.531315+05:30,2025-08-11 15:48:03.531315+05:30,,,0,24,,,f,f,,benjaminwilliam@yahoo.com,BULK,3075.69,5.00,2921.91,,
1022,C003,1175,C003-PKG-3,IN_PROGRESS,2025-08-12 01:36:03.531315+05:30,2025-08-12 07:36:03.531315+05:30,,,0,36,,,f,f,,max41@hotmail.com,API,4614.21,5.00,4383.50,,
1023,C003,867,C003-PKG-1,COMPLETED,2025-08-12 15:44:03.531315+05:30,2025-08-12 23:44:03.531315+05:30,2025-08-13 11:44:03.531315+05:30,,1,24,12,<=24h,f,f,,robertclark@yahoo.com,PORTAL,3075.69,5.00,2921.91,,
1074,C003,992,C003-PKG-3,IN_PROGRESS,2025-09-06 07:44:03.531315+05:30,2025-09-06 08:44:03.531315+05:30,,,0,72,,,t,f,,james62@gmail.com,PORTAL,4614.21,0.00,4614.21,,
1117,C004,1324,C004-PKG-1,COMPLETED,2025-04-02 16:14:03.531315+05:30,2025-04-02 18:14:03.531315+05:30,2025-04-05 05:14:03.531315+05:30,,0,48,59,48–72h,f,f,,vjenkins@yahoo.com,API,4644.52,0.00,4644.52,,
1167,C004,1229,C004-PKG-1,IN_PROGRESS,2025-04-24 10:23:03.531315+05:30,2025-04-24 12:23:03.531315+05:30,,,0,36,,,f,f,,dmartinez@yahoo.com,BULK,4644.52,15.00,3947.84,,
1170,C004,1463,C004-PKG-2,IN_PROGRESS,2025-04-25 07:15:03.531315+05:30,2025-04-25 15:15:03.531315+05:30,,,0,36,,,f,f,,,API,2864.43,0.00,2864.43,,
1215,C004,1332,C004-PKG-2,COMPLETED,2025-05-16 00:06:03.531315+05:30,2025-05-16 02:06:03.531315+05:30,2025-05-17 16:06:03.531315+05:30,,0,36,38,24–48h,f,f,,,API,2864.43,0.00,2864.43,,
1216,C004,1378,C004-PKG-1,COMPLETED,2025-05-16 09:54:03.531315+05:30,2025-05-16 11:54:03.531315+05:30,2025-05-21 20:54:03.531315+05:30,,0,72,129,>72h,f,f,,mendozanicole@gmail.com,BULK,4644.52,15.00,3947.84,,
1217,C004,1585,C004-PKG-1,PENDING,2025-05-17 03:25:03.531315+05:30,2025-05-17 05:25:03.531315+05:30,,,1,72,,,t,f,,xward@gmail.com,BULK,4644.52,0.00,4644.52,,
1264,C004,1302,C004-PKG-1,COMPLETED,2025-06-12 19:04:03.531315+05:30,2025-06-13 02:04:03.531315+05:30,2025-06-16 07:04:03.531315+05:30,,0,48,77,>72h,f,f,,karenburke@yahoo.com,BULK,4644.52,5.00,4412.29,,
1312,C004,1579,C004-PKG-2,COMPLETED,2025-07-04 09:53:03.531315+05:30,2025-07-04 09:53:03.531315+05:30,2025-07-06 01:53:03.531315+05:30,,0,48,40,24–48h,t,f,REVIEW,rbishop@hotmail.com,BULK,2864.43,10.00,2577.99,,
1361,C004,1343,C004-PKG-1,COMPLETED,2025-07-28 04:28:03.531315+05:30,2025-07-28 05:28:03.531315+05:30,2025-07-29 17:28:03.531315+05:30,,0,72,36,24–48h,f,f,,donald96@hotmail.com,BULK,4644.52,15.00,3947.84,,
1362,C004,1256,C004-PKG-1,REOPENED,2025-07-29 05:30:03.531315+05:30,2025-07-29 05:30:03.531315+05:30,,,1,24,,,f,f,,vincent30@gmail.com,PORTAL,4644.52,5.00,4412.29,,
1363,C004,1262,C004-PKG-3,IN_PROGRESS,2025-07-30 16:47:03.531315+05:30,2025-07-30 22:47:03.531315+05:30,,,0,24,,,f,f,,fordkristina@yahoo.com,API,3297.42,0.00,3297.42,,
1366,C004,1530,C004-PKG-1,COMPLETED,2025-07-30 20:50:03.531315+05:30,2025-07-31 03:50:03.531315+05:30,2025-08-02 03:50:03.531315+05:30,,0,48,48,24–48h,t,f,REVIEW,tkhan@hotmail.com,BULK,4644.52,5.00,4412.29,,
1367,C004,1316,C004-PKG-3,COMPLETED,2025-07-30 21:24:03.531315+05:30,2025-07-30 21:24:03.531315+05:30,2025-08-04 09:24:03.531315+05:30,,0,72,108,>72h,f,f,,robertwilson@yahoo.com,API,3297.42,15.00,2802.81,,
1382,C004,1488,C004-PKG-3,PENDING,2025-08-08 04:18:03.531315+05:30,2025-08-08 10:18:03.531315+05:30,,,1,72,,,f,f,,,PORTAL,3297.42,0.00,3297.42,,
1410,C004,1323,C004-PKG-2,COMPLETED,2025-08-22 22:28:03.531315+05:30,2025-08-22 22:28:03.531315+05:30,2025-08-24 14:28:03.531315+05:30,,0,24,40,24–48h,t,f,REVIEW,henryjacob@gmail.com,API,2864.43,10.00,2577.99,,
1411,C004,1588,C004-PKG-1,COMPLETED,2025-08-23 18:24:03.531315+05:30,2025-08-24 00:24:03.531315+05:30,2025-08-25 02:24:03.531315+05:30,,0,24,26,24–48h,f,f,,,BULK,4644.52,15.00,3947.84,,
1412,C004,1227,C004-PKG-1,COMPLETED,2025-08-23 20:40:03.531315+05:30,2025-08-24 01:40:03.531315+05:30,2025-08-25 01:40:03.531315+05:30,,1,36,24,<=24h,f,f,,nthomas@hotmail.com,PORTAL,4644.52,10.00,4180.07,,
1413,C004,1514,C004-PKG-2,COMPLETED,2025-08-25 01:34:03.531315+05:30,2025-08-25 02:34:03.531315+05:30,2025-08-26 01:34:03.531315+05:30,,1,24,23,<=24h,f,f,,peterayers@gmail.com,PORTAL,2864.43,0.00,2864.43,,
1414,C004,1351,C004-PKG-2,IN_PROGRESS,2025-08-25 23:10:03.531315+05:30,2025-08-26 05:10:03.531315+05:30,,,0,72,,,f,f,,,PORTAL,2864.43,5.00,2721.21,,
1457,C004,1299,C004-PKG-3,IN_PROGRESS,2025-09-17 08:44:03.531315+05:30,2025-09-17 10:44:03.531315+05:30,,,0,36,,,f,f,,ythomas@hotmail.com,API,3297.42,0.00,3297.42,,
1458,C004,1491,C004-PKG-1,COMPLETED,2025-09-17 19:18:03.531315+05:30,2025-09-18 01:18:03.531315+05:30,2025-09-18 16:18:03.531315+05:30,,0,36,15,<=24h,f,f,,,API,4644.52,10.00,4180.07,,
1459,C004,1418,C004-PKG-2,COMPLETED,2025-09-17 22:02:03.531315+05:30,2025-09-18 04:02:03.531315+05:30,2025-09-20 04:02:03.531315+05:30,,0,48,48,24–48h,f,f,,danielhutchinson@yahoo.com,BULK,2864.43,10.00,2577.99,,
1461,C005,1928,C005-PKG-5,REOPENED,2025-03-24 07:47:03.531315+05:30,2025-03-24 14:47:03.531315+05:30,,,0,48,,,f,f,,henry11@gmail.com,PORTAL,606.48,0.00,606.48,,
1505,C005,1641,C005-PKG-6,COMPLETED,2025-04-12 18:27:03.531315+05:30,2025-04-12 22:27:03.531315+05:30,2025-04-16 07:27:03.531315+05:30,,0,48,81,>72h,f,f,,timothy01@gmail.com,PORTAL,3129.36,15.00,2659.96,,
1554,C005,1945,C005-PKG-2,COMPLETED,2025-05-06 00:43:03.531315+05:30,2025-05-06 07:43:03.531315+05:30,2025-05-06 15:43:03.531315+05:30,,0,24,8,<=24h,f,f,,veronica86@yahoo.com,BULK,1522.71,10.00,1370.44,,
1555,C005,1975,C005-PKG-2,COMPLETED,2025-05-07 03:50:03.531315+05:30,2025-05-07 08:50:03.531315+05:30,2025-05-07 20:50:03.531315+05:30,,0,36,12,<=24h,f,f,,,PORTAL,1522.71,5.00,1446.57,,
1556,C005,1949,C005-PKG-3,COMPLETED,2025-05-08 08:57:03.531315+05:30,2025-05-08 12:57:03.531315+05:30,2025-05-13 16:57:03.531315+05:30,,0,72,124,>72h,f,f,,justinfrench@yahoo.com,BULK,770.17,5.00,731.66,,
1557,C005,1687,C005-PKG-3,COMPLETED,2025-05-08 07:15:03.531315+05:30,2025-05-08 12:15:03.531315+05:30,2025-05-11 10:15:03.531315+05:30,,0,48,70,48–72h,f,f,,xgonzalez@gmail.com,PORTAL,770.17,5.00,731.66,,
1558,C005,1816,C005-PKG-1,COMPLETED,2025-05-08 11:25:03.531315+05:30,2025-05-08 15:25:03.531315+05:30,2025-05-09 20:25:03.531315+05:30,,0,24,29,24–48h,t,f,REVIEW,,PORTAL,2696.33,15.00,2291.88,,
1559,C005,1866,C005-PKG-2,REOPENED,2025-05-08 20:00:03.531315+05:30,2025-05-09 03:00:03.531315+05:30,,,0,24,,,f,f,,teresa85@hotmail.com,BULK,1522.71,5.00,1446.57,,
